"Cantidad","Prd_id","CodAlfa","Articulo"
4,276772,"PPM4D30T","PERNO DE PISTON MITSUBISHI CANTER 4D30 C/U"
20,300659,"RC8DMC","BUJIAS DE ENCENDIDO - MULTIPLES ELECTRODOS - PLATINO - CHAMPION - (-SU)--CITROEN BERLINGO XU7JB 1.8L -CITROEN XANTIA  2.0L 8 / 16V-CITROEN XANTIA  1.8L -CITROEN XSARA  2.0L 16V-CITROEN XSARA  1.8L 16V-FIAT MAREA  2.0L 20V-FIAT MAREA  1.6L MPI 16V-FIAT BR"
3,363286,"MAH-LA480","FILTRO P/HABIT. -  - MAHLE - (-SU)--NISSAN TIIDA MR18 1.8L 2007/..."
1,261925,"WEG-AKX-35321","FILTRO P/HABIT. -  - WEGA - (-SU)--FIAT PALIO 178.B2 1.4L 00/...-FIAT PALIO 176A3 1.7L 00/..."
1,403202,"WEG-FCD-0787","FILTRO COMBUST. -  - WEGA - (-SU)--CHEVROLET SPIN  1.3L TD LTZ 75CV"
2,252095,"TH10317-S","ARO PIST. RECA. HIDR. - 80.50MM - MAHLE - (STD-MM)--FIAT DUNA TIPO 1.4L 4 CIL."
1,252117,"TH10318-S","ARO PIST. RECA. HIDR. - 86.40MM - MAHLE - (0,6-MM)--FIAT DUNA TIPO 1.6L 4 CIL.-FIAT REGATTA TIPO 1.6L 4 CIL.-FIAT UNO TIPO 1.6L 4 CIL."
3,252440,"VMG-BA193","BBA. AGUA - (REFORZADA) - VMG - (-SU)--CHEVROLET CORSA OHC 1.0L 1.2 -1.4-1.6  (POLEA DE 19 DIENTES)-SUZUKI FUN OHC 1.0L "
6,9038,"EDI-22045-9E","VALV. ESC. -  - EDIVAL - (STD-PL)--SCANIA L111 DS11 11.0L 76/89-SCANIA L111 DN11 11.0L 76/89-SCANIA T 112 DS11 11.0L 76/89-SCANIA T 112 DN11 11.0L 76/89-SCANIA BR-116 DS11 11.0L 76/89-SCANIA BR-116 DN11 11.0L 76/89-SCANIA R112 DS11 11.0L 76/89-SCANIA R11"
